--------- beginning of main
08-02 16:05:57.540  1534  1534 W auditd  : type=2000 audit(0.0:1): initialized
08-02 16:05:58.240  1534  1534 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
08-02 16:05:58.250  1534  1534 W auditd  : type=1404 audit(0.0:3): enforcing=1 old_enforcing=0 auid=4294967295 ses=4294967295
08-02 16:05:58.900     1     1 W init    : type=1400 audit(0.0:4): avc: denied { setattr } for name="slabinfo" dev="proc" ino=4026532040 scontext=u:r:init:s0 tcontext=u:object_r:proc:s0 tclass=file permissive=0
08-02 16:05:58.900     1     1 W init    : type=1400 audit(0.0:5): avc: denied { setattr } for name="slabinfo" dev="proc" ino=4026532040 scontext=u:r:init:s0 tcontext=u:object_r:proc:s0 tclass=file permissive=0
08-02 16:05:58.905  1535  1535 I SELinux : SELinux: Loaded service_contexts from:
08-02 16:05:58.907  1535  1535 I SELinux :     /system/etc/selinux/plat_service_contexts
08-02 16:05:58.943  1536  1536 I hwservicemanager: hwservicemanager is ready now.
08-02 16:05:58.945  1537  1537 I SELinux : SELinux: Loaded service_contexts from:
08-02 16:05:58.945  1537  1537 I SELinux :     /vendor/etc/selinux/vndservice_contexts
08-02 16:05:59.024  1543  1543 I android.hardware.keymaster@3.0-impl: Fetching keymaster device name default
08-02 16:05:59.024  1543  1543 I android.hardware.keymaster@3.0-impl: Could not find any keystore module, using software-only implementation.
08-02 16:05:59.025  1543  1543 I ServiceManagement: Removing namespace from process name android.hardware.keymaster@3.0-service to keymaster@3.0-service.
08-02 16:05:59.025  1543  1543 I android.hardware.keymaster@3.0-service: Registration complete for android.hardware.keymaster@3.0::IKeymasterDevice/default.
08-02 16:05:59.304  1544  1544 E cutils  : Failed to mkdir(/data/system/users/0): No such file or directory
08-02 16:05:59.318  1584  1584 I /system/bin/tzdatacheck: timezone distro dir /data/misc/zoneinfo/current does not exist. No action required.
08-02 16:05:59.377  1586  1586 I ServiceManagement: Removing namespace from process name android.hidl.allocator@1.0-service to allocator@1.0-service.
08-02 16:05:59.384  1587  1587 I health@2.0/: health@2.0/backup: Hal starting main loop...
08-02 16:05:59.384  1587  1587 I health@2.0/: health@2.0/backup Hal is starting up...
08-02 16:05:59.393  1536  1536 W hwservicemanager: getTransport: Cannot find entry android.hardware.health@1.0::IHealth/default in either framework or device manifest.
08-02 16:05:59.393  1587  1587 I health@2.0/: health@2.0/backup: Hal init done
08-02 16:05:59.461  1594  1594 D android.hardware.drm@1.0-service: android.hardware.drm@1.0-service starting...
08-02 16:05:59.479  1592  1592 D android.hardware.cas@1.0-service: android.hardware.cas@1.0-service starting...
08-02 16:05:59.479  1592  1592 I ServiceManagement: Removing namespace from process name android.hardware.cas@1.0-service to cas@1.0-service.
08-02 16:05:59.480  1595  1595 D android.hardware.drm@1.1-service.clearkey: android.hardware.drm@1.1-service.clearkey starting...
08-02 16:05:59.482  1595  1595 I ServiceManagement: Removing namespace from process name android.hardware.drm@1.1-service.clearkey to drm@1.1-service.clearkey.
08-02 16:05:59.482  1595  1595 I ServiceManagement: Removing namespace from process name android.hardware.drm@1.1-service.clearkey to drm@1.1-service.clearkey.
08-02 16:05:59.488  1593  1593 W /vendor/bin/hw/android.hardware.configstore@1.1-service: Could not find seccomp policy file at: /vendor/etc/seccomp_policy/configstore@1.1.policy
08-02 16:05:59.488  1593  1593 I ServiceManagement: Removing namespace from process name android.hardware.configstore@1.1-service to configstore@1.1-service.
08-02 16:05:59.504  1594  1594 I ServiceManagement: Removing namespace from process name android.hardware.drm@1.0-service to drm@1.0-service.
08-02 16:05:59.504  1594  1594 I android.hardware.drm@1.0-service: Registration complete for android.hardware.drm@1.0::IDrmFactory/default.
08-02 16:05:59.504  1590  1590 I ServiceManagement: Removing namespace from process name android.hardware.broadcastradio@1.1-service to broadcastradio@1.1-service.
08-02 16:05:59.510  1591  1591 I android.hardware.camera.provider@2.4-service: Camera provider Service is starting.
08-02 16:05:59.514  1594  1594 I ServiceManagement: Removing namespace from process name android.hardware.drm@1.0-service to drm@1.0-service.
08-02 16:05:59.514  1594  1594 I android.hardware.drm@1.0-service: Registration complete for android.hardware.drm@1.0::ICryptoFactory/default.
08-02 16:05:59.515  1602  1602 I android.hardware.power@1.1-service.ranchu: Power HAL Service 1.1 for Ranchu is starting.
08-02 16:05:59.515  1602  1602 I ServiceManagement: Removing namespace from process name android.hardware.power@1.1-service.ranchu to power@1.1-service.ranchu.
08-02 16:05:59.519  1601  1601 I health@2.0/: health@2.0/default: Hal starting main loop...
08-02 16:05:59.519  1601  1601 I health@2.0/: health@2.0/default Hal is starting up...
08-02 16:05:59.519  1601  1601 I ServiceManagement: Removing namespace from process name android.hardware.health@2.0-service.goldfish to health@2.0-service.goldfish.
08-02 16:05:59.520  1602  1602 I android.hardware.power@1.1-service.ranchu: Power Service is ready
08-02 16:05:59.523  1601  1601 I health@2.0/: health@2.0/default: Hal init done
08-02 16:05:59.536  1598  1598 I ServiceManagement: Removing namespace from process name android.hardware.gnss@1.0-service to gnss@1.0-service.
08-02 16:05:59.537  1598  1598 I android.hardware.gnss@1.0-service: Registration complete for android.hardware.gnss@1.0::IGnss/default.
08-02 16:05:59.538  1596  1596 D android.hardware.drm@1.0-service.widevine: android.hardware.drm@1.1-service.widevine starting...
08-02 16:05:59.539  1596  1596 I ServiceManagement: Removing namespace from process name android.hardware.drm@1.1-service.widevine to drm@1.1-service.widevine.
08-02 16:05:59.546  1597  1597 E GoldfishGatekeeper: called goldfish_gatekeeper_open with gate keeper 0xec71b0d8 device 0xec230088
08-02 16:05:59.565  1600  1600 D HostConnection: createUnique: call
08-02 16:05:59.565  1600  1600 D HostConnection: HostConnection::get() New Host Connection established 0xf35a4140, tid 1600
08-02 16:05:59.577  1600  1600 D HostConnection: HostComposition ext ANDROID_EMU_CHECKSUM_HELPER_v1 ANDROID_EMU_native_sync_v2 ANDROID_EMU_native_sync_v3 ANDROID_EMU_native_sync_v4 ANDROID_EMU_dma_v1 ANDROID_EMU_YUV420_888_to_NV21 ANDROID_EMU_YUV_Cache ANDROID_EMU_sync_buffer_data GL_OES_EGL_image_external_essl3 GL_OES_vertex_array_object GL_KHR_texture_compression_astc_ldr ANDROID_EMU_host_side_tracing ANDROID_EMU_gles_max_version_3_0 
08-02 16:05:59.578  1600  1600 E hwcomposer: unknown display attribute 6
08-02 16:05:59.581  1600  1600 I ServiceManagement: Removing namespace from process name android.hardware.graphics.composer@2.1-service to composer@2.1-service.
08-02 16:05:59.581  1600  1600 I android.hardware.graphics.composer@2.1-service: Registration complete for android.hardware.graphics.composer@2.1::IComposer/default.
08-02 16:05:59.581  1596  1596 I ServiceManagement: Removing namespace from process name android.hardware.drm@1.1-service.widevine to drm@1.1-service.widevine.
08-02 16:05:59.582  1603  1603 I ServiceManagement: Removing namespace from process name android.hardware.sensors@1.0-service to sensors@1.0-service.
08-02 16:05:59.582  1608  1608 I qemu-props: connected to 'boot-properties' qemud service.
08-02 16:05:59.582  1608  1608 I qemu-props: receiving..
08-02 16:05:59.582  1608  1608 I qemu-props: received: qemu.cmdline=androidboot.logcat=*:V androidboot.consolepipe=qemu_pipe,pipe:logcat
08-02 16:05:59.582  1603  1603 I android.hardware.sensors@1.0-service: Registration complete for android.hardware.sensors@1.0::ISensors/default.
08-02 16:05:59.582  1597  1597 I ServiceManagement: Removing namespace from process name android.hardware.gatekeeper@1.0-service to gatekeeper@1.0-service.
08-02 16:05:59.582  1597  1597 I android.hardware.gatekeeper@1.0-service: Registration complete for android.hardware.gatekeeper@1.0::IGatekeeper/default.
08-02 16:05:59.585  1608  1608 I qemu-props: successfully set property 'qemu.cmdline' to 'androidboot.logcat=*:V androidboot.consolepipe=qemu_pipe,pipe:logcat'
08-02 16:05:59.585  1608  1608 I qemu-props: receiving..
08-02 16:05:59.585  1608  1608 I qemu-props: received: qemu.logcat=start
08-02 16:05:59.589  1599  1599 D HostConnection: createUnique: call
08-02 16:05:59.590  1599  1599 D HostConnection: HostConnection::get() New Host Connection established 0xf6ca8050, tid 1599
08-02 16:05:59.590  1599  1599 I ServiceManagement: Removing namespace from process name android.hardware.graphics.allocator@2.0-service to allocator@2.0-service.
08-02 16:05:59.590  1599  1599 I android.hardware.graphics.allocator@2.0-service: Registration complete for android.hardware.graphics.allocator@2.0::IAllocator/default.
08-02 16:05:59.593  1610  1610 I lowmemorykiller: Using in-kernel low memory killer interface
08-02 16:05:59.595  1608  1608 I qemu-props: successfully set property 'vendor.qemu.logcat' to 'start'
08-02 16:05:59.595  1608  1608 I qemu-props: receiving..
08-02 16:05:59.595  1608  1608 I qemu-props: received: ro.opengles.version=196608
08-02 16:05:59.595  1608  1608 I qemu-props: receiving..
08-02 16:05:59.595  1608  1608 I qemu-props: received: qemu.sf.fake_camera=back
